timestamp,input_text,predicted_label,predicted_prob,user_label
2025-11-28T14:49:18.261097,New study proves that drinking coffee cures diabetes.,uncertain,0.5000,fake
2025-11-28T15:05:20.859687,duterte is dead in the icc,real,0.5000,fake
2025-11-28T16:03:19.946294,mindanao has no internet,real,1.0000,fake
2025-11-29T13:04:36.646485,"apan recently recounted its islands — and found 7,000 more than anyone realized 🌊.
A new digital survey by the Geospatial Information Authority of Japan identified 14,125 islands, more than double the long-used count of 6,852 from a 1987 Coast Guard report.

The difference isn’t new land. It’s better tech. High-resolution satellite imaging and advanced mapping software can now spot and measure small landmasses that older surveys either missed or lumped together 🛰️.
2025-12-01T08:08:23.764132,"hgdgdkgc5edtgvuijyh bjyujuk,stseikstjvc gcctydrdesbgh is a word",real,0.6621
2025-12-01T08:08:48.767540,City hall to relocate capital city next week; official notice published.,real,0.1515
2025-12-01T08:11:37.645289,City hall to relocate capital city next week; official notice published.,real,0.1515
2025-12-01T08:31:21.628761,mindanao philippines has no internet,real,0.1957
2025-12-01T08:32:08.664476,mindanao philippines has no internet,real,0.1957
2025-12-01T08:32:31.479915,duterte died in icc,fake,0.9800
2025-12-01T08:32:39.436584,duterte died in icc,fake,0.9800
2025-12-01T08:33:45.070386,fuck you,fake,0.7499
2025-12-01T08:33:48.283849,fuck you,fake,0.7499
2025-12-01T08:35:42.987589,bhdaydhasb dahdwuqwdhiqwdlJBDXAGDEHYBDAHbjsdufos is a name,real,0.6618
2025-12-01T08:36:05.805689,bhdaydhasb dahdwuqwdhiqwdlJBDXAGDEHYBDAHbjsdufos is a name,real,0.6618
2025-12-01T08:36:42.391470,"A Filipino domestic worker who fled Hong Kong’s deadly inferno with her employers’ three-year-old daughter in her arms has expressed regret that she was unable to persuade a neighbour who perished in the blaze to also try to escape.⁠
⁠",real,0.0885
2025-12-01T08:37:05.659721,"A Filipino domestic worker who fled Hong Kong’s deadly inferno with her employers’ three-year-old daughter in her arms has expressed regret that she was unable to persuade a neighbour who perished in the blaze to also try to escape.⁠
⁠",real,0.0885
2025-12-01T08:37:21.137083,"The Land Transportation Office has decided to hold off the impounding of e-bikes and e-trikes that will be caught operating on national highways on Monday, December 1.",real,0.0510
2025-12-01T08:37:37.855253,"The Land Transportation Office has decided to hold off the impounding of e-bikes and e-trikes that will be caught operating on national highways on Monday, December 1.",real,0.0510
2025-12-01T08:43:23.606226,"Philippine volcano will explode next week, NASA confirms",real,0.0790
2025-12-01T08:53:43.957247,"Philippine volcano will explode next week, NASA confirms",real,0.0790
2025-12-01T08:58:28.427190,jabskcdawufhryuagusldadcgfsduflsejodhcfidefufhashdlasodoefrheih is an indian name,real,0.3500
2025-12-01T08:58:54.647629,jabskcdawufhryuagusldadcgfsduflsejodhcfidefufhashdlasodoefrheih is an indian name,real,0.3500
2025-12-01T15:59:15.331397,mindanao has no internet,fake,0.8800
2025-12-01T15:59:18.803393,mindanao has no internet,fake,0.8800
2025-12-01T15:59:51.165478,duterte died in icc,fake,0.9500
2025-12-01T15:59:52.691297,duterte died in icc,fake,0.9500
2025-12-01T16:03:19.129983,"Libo-libo ang nagsagawa ng kilos-protesta sa Maynila at Quezon City ngayong Linggo, November 30, 2025, upang ipanawagang ikulong ang mga sangkot sa korapsyon sa maanomalyang flood control projects.",fake,0.8800
2025-12-01T16:03:22.409676,"Libo-libo ang nagsagawa ng kilos-protesta sa Maynila at Quezon City ngayong Linggo, November 30, 2025, upang ipanawagang ikulong ang mga sangkot sa korapsyon sa maanomalyang flood control projects.",fake,0.8800
2025-12-01T16:24:37.916473,"President Ferdinand Marcos, Jr. has instructed Defense Secretary Gilbert Teodoro to review a policy on discharging soldiers who became completely disabled during their line of duty, saying they could still serve the military despite their condition.",fake,0.8800
2025-12-01T16:24:45.906060,"President Ferdinand Marcos, Jr. has instructed Defense Secretary Gilbert Teodoro to review a policy on discharging soldiers who became completely disabled during their line of duty, saying they could still serve the military despite their condition.",fake,0.8800
2025-12-01T16:25:14.574381,"scar-winning actors Joaquin Phoenix and Rooney Mara have officially signed on as executive producers for the Palestinian short film ""I’m Glad You’re Dead Now"", according to reports by Variety.",fake,0.8800
2025-12-01T16:25:21.943261,"scar-winning actors Joaquin Phoenix and Rooney Mara have officially signed on as executive producers for the Palestinian short film ""I’m Glad You’re Dead Now"", according to reports by Variety.",fake,0.8800
2025-12-02T05:53:04.399351,"Ipinag-utos ni Pangulong Ferdinand Marcos Jr. na hanapan ng ""adaptive duties"" sa halip na tuluyang i-discharge si Capt. Jerome Jacuba bilang pagkilala sa pagtaya ng kaniyang buhay para sa bansa.",fake,0.8800
2025-12-02T05:53:11.313381,"Ipinag-utos ni Pangulong Ferdinand Marcos Jr. na hanapan ng ""adaptive duties"" sa halip na tuluyang i-discharge si Capt. Jerome Jacuba bilang pagkilala sa pagtaya ng kaniyang buhay para sa bansa.",fake,0.8800
2025-12-02T05:55:36.334778,really,real,0.2500
2025-12-02T05:56:07.762000,really,real,0.2500
2025-12-02T05:56:37.858739,former duterte is dead,fake,0.9800
2025-12-02T05:56:46.276886,former duterte is dead,fake,0.9800
2025-12-02T05:57:37.053572,"The Armed Forces of the Philippines has identified 252 “ghost” flood control projects out of 10,000 it has inspected across the country so far.",fake,0.9000
2025-12-02T05:57:45.751314,"The Armed Forces of the Philippines has identified 252 “ghost” flood control projects out of 10,000 it has inspected across the country so far.",fake,0.9000
2025-12-02T05:58:40.023919,"freemalaysiatoday
#FMTWorld The death toll mounted to over 500 from floods and landslides caused by torrential rains across three countries in Southeast Asia, officials said on Sunday, as relief efforts for tens of thousands of displaced people continued over the weekend.

Malaysia, Indonesia and Thailand faced large-scale devastation after a rare tropical storm formed in the Malacca Strait fuelling heavy rains and wind gusts for a week. There were 336 dead in Indonesia, 170 in Thailand, and two deaths reported in Malaysia.

Rescue and relief officials in the Southeast Asian countries were still trying to get access to many flood-hit areas on Sunday even as flood waters receded and tens of thousands people were evacuated across the three countries.",fake,0.9000
2025-12-02T05:58:48.526244,"freemalaysiatoday
#FMTWorld The death toll mounted to over 500 from floods and landslides caused by torrential rains across three countries in Southeast Asia, officials said on Sunday, as relief efforts for tens of thousands of displaced people continued over the weekend.

Malaysia, Indonesia and Thailand faced large-scale devastation after a rare tropical storm formed in the Malacca Strait fuelling heavy rains and wind gusts for a week. There were 336 dead in Indonesia, 170 in Thailand, and two deaths reported in Malaysia.

Rescue and relief officials in the Southeast Asian countries were still trying to get access to many flood-hit areas on Sunday even as flood waters receded and tens of thousands people were evacuated across the three countries.",fake,0.9000
2025-12-02T07:38:43.469463,"Patay sa tinamong sugat sa dibdib ang 36 anyos na lalaki matapos pagbabarilin sa eskinita sa Bgy. 38, Tondo, Maynila, pasado 1 a.m., Lunes, December 1.",fake,1.0000
2025-12-02T07:38:43.542530,"Patay sa tinamong sugat sa dibdib ang 36 anyos na lalaki matapos pagbabarilin sa eskinita sa Bgy. 38, Tondo, Maynila, pasado 1 a.m., Lunes, December 1.",fake,1.0000
2025-12-02T07:39:36.803692,"n an extraordinary and disturbing medical case, a physician revealed that surgeons had removed a 2.5-kilogram dumbbell from a patient’s body. What makes the situation even more remarkable is that the patient refused to explain or admit how it got there, leaving doctors and onlookers stunned. This case underscores both the unexpected challenges in medicine and the limits of patient disclosure.",fake,1.0000
2025-12-02T07:39:37.291956,"n an extraordinary and disturbing medical case, a physician revealed that surgeons had removed a 2.5-kilogram dumbbell from a patient’s body. What makes the situation even more remarkable is that the patient refused to explain or admit how it got there, leaving doctors and onlookers stunned. This case underscores both the unexpected challenges in medicine and the limits of patient disclosure.",fake,1.0000
2025-12-02T07:40:32.918116,"The Armed Forces of the Philippines has identified 252 “ghost” flood control projects out of 10,000 it has inspected across the country so far.",fake,1.0000
2025-12-02T07:40:33.344736,"The Armed Forces of the Philippines has identified 252 “ghost” flood control projects out of 10,000 it has inspected across the country so far.",fake,1.0000
2025-12-02T07:41:23.979789,Former president duterte is alive,fake,1.0000
2025-12-02T07:41:24.216078,Former president duterte is alive,fake,1.0000
2025-12-02T07:41:43.178481,Former president duterte is dead,fake,1.0000
2025-12-02T07:41:43.456268,Former president duterte is dead,fake,1.0000
2025-12-02T08:12:23.990470,"The Armed Forces of the Philippines has identified 252 “ghost” flood control projects out of 10,000 it has inspected across the country so far.",real,0.0000
2025-12-02T08:12:26.143484,"The Armed Forces of the Philippines has identified 252 “ghost” flood control projects out of 10,000 it has inspected across the country so far.",real,0.0000
2025-12-02T09:00:34.285389,"DPWH Region IV-B officials, who are co-accused of Ako Bicol Rep. Zaldy Co over their alleged involvement in the anomalous flood control project in Oriental Mindoro, arrive at the Sandiganbayan for their arraignment.",fake,0.5000
2025-12-02T09:00:34.720070,"DPWH Region IV-B officials, who are co-accused of Ako Bicol Rep. Zaldy Co over their alleged involvement in the anomalous flood control project in Oriental Mindoro, arrive at the Sandiganbayan for their arraignment.",fake,0.5000
2025-12-02T09:01:19.909305,K-pop girl group IVE returns to Manila in April 2026 for a concert.,fake,0.5000
2025-12-02T09:01:20.522758,K-pop girl group IVE returns to Manila in April 2026 for a concert.,fake,0.5000
2025-12-02T09:20:34.518444,"A huge fire that engulfed a Hong Kong residential estate has killed at least 44 people and left more than 200 unaccounted for in the city’s worst blaze in decades, the city’s fire department said.",fake,0.5000
2025-12-02T09:20:34.650061,"A huge fire that engulfed a Hong Kong residential estate has killed at least 44 people and left more than 200 unaccounted for in the city’s worst blaze in decades, the city’s fire department said.",fake,0.5000
2025-12-02T09:29:39.507565,"Police Regional Office 3 has arrested 1,077 drug personalities and confiscated ₱25.3 million worth of illegal drugs in 724 anti-drug operations conducted from Nov. 1 to 30, says Central Luzon top cop PBGen. Ponce Rogelio Peñones.",check_needed,0.5000
2025-12-02T09:29:39.583109,"Police Regional Office 3 has arrested 1,077 drug personalities and confiscated ₱25.3 million worth of illegal drugs in 724 anti-drug operations conducted from Nov. 1 to 30, says Central Luzon top cop PBGen. Ponce Rogelio Peñones.",check_needed,0.5000
2025-12-02T09:30:40.277453,The establishment of the new embassy was announced by President Tharman Shanmugaratnam on Dec. 1 during his first state visit to Mexico as president.,check_needed,0.5000
2025-12-02T09:30:40.354157,The establishment of the new embassy was announced by President Tharman Shanmugaratnam on Dec. 1 during his first state visit to Mexico as president.,check_needed,0.5000
2025-12-02T09:31:08.842081,former president duterte is dead,check_needed,0.5000
2025-12-02T09:31:08.914160,former president duterte is dead,check_needed,0.5000
2025-12-02T09:31:15.195155,former president duterte is dead,check_needed,0.5000
2025-12-02T09:31:15.275516,former president duterte is dead,check_needed,0.5000
2025-12-02T09:31:28.949436,The establishment of the new embassy was announced by President Tharman Shanmugaratnam on Dec. 1 during his first state visit to Mexico as president.,check_needed,0.5000
2025-12-02T09:31:29.038905,The establishment of the new embassy was announced by President Tharman Shanmugaratnam on Dec. 1 during his first state visit to Mexico as president.,check_needed,0.5000
2025-12-02T09:42:01.340843,"Leilani Lacuna, former Manila Mayor Honey Lacuna’s sister, filed at the Office of the Ombudsman complaints of graft, among others, against Manila Mayor Isko Moreno and 14 other individuals over the installation of a new Liga ng mga Barangay president. | via Agatha Gregorio, ABS-CBN News",real,0.5000
2025-12-02T09:42:15.561013,"Leilani Lacuna, former Manila Mayor Honey Lacuna’s sister, filed at the Office of the Ombudsman complaints of graft, among others, against Manila Mayor Isko Moreno and 14 other individuals over the installation of a new Liga ng mga Barangay president. | via Agatha Gregorio, ABS-CBN News",real,0.5000
2025-12-02T09:42:48.947475,Former president  duterte is dead,fake,0.5000
2025-12-02T09:42:51.344912,Former president  duterte is dead,fake,0.5000
2025-12-02T09:43:49.173057,"Leilani Lacuna, former Manila Mayor Honey Lacuna’s sister, filed at the Office of the Ombudsman complaints of graft, among others, against Manila Mayor Isko Moreno and 14 other individuals over the installation of a new Liga ng mga Barangay president. | via Agatha Gregorio, ABS-CBN News",real,0.5000
2025-12-02T09:44:07.782296,"Leilani Lacuna, former Manila Mayor Honey Lacuna’s sister, filed at the Office of the Ombudsman complaints of graft, among others, against Manila Mayor Isko Moreno and 14 other individuals over the installation of a new Liga ng mga Barangay president. | via Agatha Gregorio, ABS-CBN News",real,0.5000
2025-12-02T09:44:39.764384,"Sa 10,000 infrastructure sites sa bansa, 252 ang natuklasan umanong ghost flood control projects mula taong 2016.

Patuloy ang inspeksyon ng AFP at PNP sa 20,000 iba pang proyekto.",real,0.5000
2025-12-02T09:44:42.061582,"Sa 10,000 infrastructure sites sa bansa, 252 ang natuklasan umanong ghost flood control projects mula taong 2016.

Patuloy ang inspeksyon ng AFP at PNP sa 20,000 iba pang proyekto.",real,0.5000
2025-12-02T09:45:07.573603,xdfdbhfgnnhg gdhmghxfgbzdgngmkyhnf is an indian name,real,0.5000
2025-12-02T09:45:10.712053,xdfdbhfgnnhg gdhmghxfgbzdgngmkyhnf is an indian name,real,0.5000
2025-12-02T09:45:55.831871,ambot lang is an english term,real,0.5000
2025-12-02T09:46:02.712390,ambot lang is an english term,real,0.5000
2025-12-02T09:46:34.562102,Former President duterte is alive,fake,0.5000
2025-12-02T09:46:36.268385,Former President duterte is alive,fake,0.5000
2025-12-02T09:47:52.867483,"Mayor sa Lunas City nagpahibalo og libreng eroplano alang sa tanan nga residente""
Snippet: ""Sa usa ka press release, gitug-an sa mayor nga matag pamilya sa Lunas City makadawat og libreng round-trip ticket kada tuig — walay klarong pondo o kontrata nga gi-presentar.""",real,0.5000
2025-12-02T09:48:02.527869,"Mayor sa Lunas City nagpahibalo og libreng eroplano alang sa tanan nga residente""
Snippet: ""Sa usa ka press release, gitug-an sa mayor nga matag pamilya sa Lunas City makadawat og libreng round-trip ticket kada tuig — walay klarong pondo o kontrata nga gi-presentar.""",real,0.5000
2025-12-02T10:21:13.374737,"Vice President Sara Duterte says her office will continue fighting against corruption and greed, as she highlighted the Office of the Vice President’s (OVP) achievements and milestones for this year.",real,0.5000
2025-12-02T10:21:18.254379,"Vice President Sara Duterte says her office will continue fighting against corruption and greed, as she highlighted the Office of the Vice President’s (OVP) achievements and milestones for this year.",real,0.5000
2025-12-02T10:21:48.727511,DPWH Region IV-B Maintenance Division Chief Juliet Calvo pleaded not guilty for her graft charge in relation to anomalous flood control projects in Oriental Mindoro. She is also facing charges for malversation.,real,0.5000
2025-12-02T10:21:52.838569,DPWH Region IV-B Maintenance Division Chief Juliet Calvo pleaded not guilty for her graft charge in relation to anomalous flood control projects in Oriental Mindoro. She is also facing charges for malversation.,real,0.5000
2025-12-02T10:25:28.286473,"Authorities in Sri Lanka, Indonesia and Thailand are racing to clear debris and find hundreds of missing people after more than 900 died in devastating floods and landslides across the south of Asia.",real,0.5000
2025-12-02T10:25:35.369687,"Authorities in Sri Lanka, Indonesia and Thailand are racing to clear debris and find hundreds of missing people after more than 900 died in devastating floods and landslides across the south of Asia.",real,0.5000
2025-12-02T10:26:00.083285,aweewtrfystyity,real,0.5000
2025-12-02T10:26:02.196341,aweewtrfystyity,real,0.5000
2025-12-02T10:26:38.429032,ambot is an english word,real,0.5000
2025-12-02T10:26:41.794091,ambot is an english word,real,0.5000
2025-12-02T10:27:31.657243,Mindanao is the largest city in the Philippines.,real,0.5000
2025-12-02T10:27:37.035238,Mindanao is the largest city in the Philippines.,real,0.5000
2025-12-02T10:28:37.444908,there are 20 planets in the solar system,real,0.5000
2025-12-02T10:28:44.124664,there are 20 planets in the solar system,real,0.5000
2025-12-02T10:29:02.620046,Dutert is dead,fake,1.0000
2025-12-02T10:29:04.240552,Dutert is dead,fake,1.0000
2025-12-02T10:29:30.691145,Michael Jackson is dead,fake,1.0000
2025-12-02T10:29:33.726354,Michael Jackson is dead,fake,1.0000
2025-12-02T10:29:54.333490,Michael Jackson is alive,fake,0.5000
2025-12-02T10:29:58.183410,Michael Jackson is alive,fake,0.5000
2025-12-02T10:31:31.335182,BREAKING: Local hospital confirms banana cure for diabetes — patients healed in 48 hours,real,0.5000
2025-12-02T10:31:34.199322,BREAKING: Local hospital confirms banana cure for diabetes — patients healed in 48 hours,real,0.5000
2025-12-02T10:32:47.476838,Donald Trump is the new President in the Philippines,real,0.5000
2025-12-02T10:32:50.239820,Donald Trump is the new President in the Philippines,real,0.5000
2025-12-02T12:12:06.752042,"Mothballed: The Bataan Nuclear Power Plant, 40 Years After",real,0.5000
2025-12-02T12:12:19.646877,"Mothballed: The Bataan Nuclear Power Plant, 40 Years After",real,0.5000
2025-12-02T12:12:21.490390,"Mothballed: The Bataan Nuclear Power Plant, 40 Years After",real,0.5000
2025-12-02T12:12:22.626757,"Mothballed: The Bataan Nuclear Power Plant, 40 Years After",real,0.5000
2025-12-02T12:12:23.429066,"Mothballed: The Bataan Nuclear Power Plant, 40 Years After",real,0.5000
2025-12-02T12:12:23.954322,"Mothballed: The Bataan Nuclear Power Plant, 40 Years After",real,0.5000
2025-12-02T12:12:24.549122,"Mothballed: The Bataan Nuclear Power Plant, 40 Years After",real,0.5000
2025-12-02T12:12:25.007209,"Mothballed: The Bataan Nuclear Power Plant, 40 Years After",real,0.5000
2025-12-02T12:12:25.217819,"Mothballed: The Bataan Nuclear Power Plant, 40 Years After",real,0.5000
2025-12-02T12:12:27.511799,"Mothballed: The Bataan Nuclear Power Plant, 40 Years After",real,0.5000
2025-12-02T12:12:32.127606,"Mothballed: The Bataan Nuclear Power Plant, 40 Years After",real,0.5000
2025-12-02T12:12:40.094444,"Mothballed: The Bataan Nuclear Power Plant, 40 Years After",real,0.5000
2025-12-02T12:12:44.735455,"Mothballed: The Bataan Nuclear Power Plant, 40 Years After",real,0.5000
2025-12-02T12:13:39.373594,"Mothballed: The Bataan Nuclear Power Plant, 40 Years After",real,0.5000
2025-12-02T12:13:40.064072,"Mothballed: The Bataan Nuclear Power Plant, 40 Years After",real,0.5000
2025-12-02T12:13:41.109554,"Mothballed: The Bataan Nuclear Power Plant, 40 Years After",real,0.5000
2025-12-02T12:13:41.685240,"Mothballed: The Bataan Nuclear Power Plant, 40 Years After",real,0.5000
2025-12-02T12:13:42.298977,"Mothballed: The Bataan Nuclear Power Plant, 40 Years After",real,0.5000
2025-12-02T12:14:12.810276,ANOTHER MASS MOBILIZATION POSSIBLE IF PROBE DOES NOT GIVE RESULTS,real,0.5000
2025-12-02T12:14:19.689058,ANOTHER MASS MOBILIZATION POSSIBLE IF PROBE DOES NOT GIVE RESULTS,real,0.5000
2025-12-02T12:15:39.966041,there are 20 planet in the solar system,real,0.5000
2025-12-02T12:27:09.419310,there are 20 planet in the solar system,real,0.5000
2025-12-02T12:27:42.523122,former president duterte died in icc,real,0.5000
2025-12-02T12:27:48.615364,former president duterte died in icc,real,0.5000
2025-12-02T17:16:45.161367,"Cassandra Li Ong, who has a standing arrest warrant for qualified human trafficking charges, is still in the Philippines, according to Malacañang.",fake,0.7842,model probability >= 0.25
2025-12-02T17:16:47.838195,"Cassandra Li Ong, who has a standing arrest warrant for qualified human trafficking charges, is still in the Philippines, according to Malacañang.",fake,0.7842,model probability >= 0.25
2025-12-02T17:18:27.360595,former president duterte died in icc,fake,0.7576,authoritative fact-check found negative rating
2025-12-02T17:18:29.637913,former president duterte died in icc,fake,0.7576,authoritative fact-check found negative rating
2025-12-02T17:19:44.442677,there are 20 planets in the solar system,fake,0.5989,model probability >= 0.25
2025-12-02T17:19:46.979879,there are 20 planets in the solar system,fake,0.5989,model probability >= 0.25
2025-12-02T17:31:30.461390,"DSWD, DILG, and other government agencies to sign the Implementing Rules and Regulations of the Pag-abot Program, which aims to help elevate the lives of street dwellers.",unverified,0.7999,model suggests fake but no supporting sources found; manual review suggested
2025-12-02T17:32:19.903201,"DSWD, DILG, and other government agencies to sign the Implementing Rules and Regulations of the Pag-abot Program, which aims to help elevate the lives of street dwellers.",unverified,0.7999,model suggests fake but no supporting sources found; manual review suggested
2025-12-02T17:42:49.515082,"Alpha Drive One, made up of eight members from the hit reality show ""Boys II Planet,"" will make its debut on January 12, 2026.",unverified,0.7502,model suggests fake but no supporting sources found; manual review suggested
2025-12-02T17:42:58.962424,"Alpha Drive One, made up of eight members from the hit reality show ""Boys II Planet,"" will make its debut on January 12, 2026.",unverified,0.7502,model suggests fake but no supporting sources found; manual review suggested
2025-12-03T08:18:51.426804,"Still dodging AI implementation like it’s another budget meeting? Time to meet monday sidekick, the AI you’ll love to use.",real,0.5000,model suggests fake but no external sources found
2025-12-03T08:19:00.620878,"Still dodging AI implementation like it’s another budget meeting? Time to meet monday sidekick, the AI you’ll love to use.",real,0.5000,model suggests fake but no external sources found
2025-12-03T08:19:37.072334,there are 20 planets in the solar system,real,0.5000,model suggests fake but no external sources found
2025-12-03T08:47:29.793178,Mindanao has no internet,real,0.5000,model suggests fake but no external sources found
2025-12-03T08:47:39.797536,Mindanao has no internet,real,0.5000,model suggests fake but no external sources found
2025-12-03T08:48:08.089505,Duterte is dead,fake,0.5000,authoritative fact-check indicates false
2025-12-03T08:48:18.508423,Duterte is dead,fake,0.5000,authoritative fact-check indicates false
2025-12-03T08:48:47.957405,Duterte is still alive,fake,0.5000,authoritative fact-check indicates false
2025-12-03T08:48:58.082901,Duterte is still alive,fake,0.5000,authoritative fact-check indicates false
2025-12-03T08:49:32.050438,Sara Duterte is dead,fake,0.5000,authoritative fact-check indicates false
2025-12-03T08:49:41.523305,Sara Duterte is dead,fake,0.5000,authoritative fact-check indicates false
2025-12-03T08:50:03.997245,Sara Duterte is not dead,fake,0.5000,authoritative fact-check indicates false
2025-12-03T08:50:13.659011,Sara Duterte is not dead,fake,0.5000,authoritative fact-check indicates false
2025-12-03T08:51:15.932620,Sara Duterte is still alive,fake,0.5000,authoritative fact-check indicates false
2025-12-03T08:51:26.298364,Sara Duterte is still alive,fake,0.5000,authoritative fact-check indicates false
2025-12-03T08:58:27.005024,Sara Duterte is the vice president of the philipplines,fake,0.5000,authoritative fact-check indicates false
2025-12-03T08:58:36.426327,Sara Duterte is the vice president of the philipplines,fake,0.5000,authoritative fact-check indicates false
2025-12-03T08:59:22.331511,Mracos the the new president in the philippines,fake,0.5000,authoritative fact-check indicates false
2025-12-03T08:59:31.594266,Mracos the the new president in the philippines,fake,0.5000,authoritative fact-check indicates false
2025-12-03T09:23:52.852292,"A total of 9,027 police personnel have been dismissed from the service as part of the PNP’s intensified internal cleansing efforts from July 2016 to November 26, 2025.",fake,0.5000,model predicts fake (p>=0.2113)
2025-12-03T09:24:01.936540,"A total of 9,027 police personnel have been dismissed from the service as part of the PNP’s intensified internal cleansing efforts from July 2016 to November 26, 2025.",fake,0.5000,model predicts fake (p>=0.2113)
2025-12-03T09:24:49.616736,Singer G-Dragon requested that parts of the donation be given to firefighters and emergency personnel who responded to the devastating fire in Hong Kong’s Tai Po district.,fake,0.5000,model predicts fake (p>=0.2113)
2025-12-03T09:24:58.613166,Singer G-Dragon requested that parts of the donation be given to firefighters and emergency personnel who responded to the devastating fire in Hong Kong’s Tai Po district.,fake,0.5000,model predicts fake (p>=0.2113)
2025-12-03T09:43:19.384081,"UPDATE: The Bureau of Jail Management and Penology has confirmed that the commitment order for dismissed Bamban Mayor Alice Guo has been received by the warden of the Pasig City Jail for her transfer to the Correctional Institution for Women in Mandaluyong.

BJMP Spokesperson Jail Superintendent Jayrex Bustinera said the agency is now preparing Guo’s medical and laboratory examination inside the facility for security reasons—a standard requirement before any detainee is moved to a different detention facility.",fake,0.5000,model predicts fake (p>=0.2113)
2025-12-03T09:43:29.144870,"UPDATE: The Bureau of Jail Management and Penology has confirmed that the commitment order for dismissed Bamban Mayor Alice Guo has been received by the warden of the Pasig City Jail for her transfer to the Correctional Institution for Women in Mandaluyong.

BJMP Spokesperson Jail Superintendent Jayrex Bustinera said the agency is now preparing Guo’s medical and laboratory examination inside the facility for security reasons—a standard requirement before any detainee is moved to a different detention facility.",fake,0.5000,model predicts fake (p>=0.2113)
2025-12-03T09:43:49.755528,duterte is dead,fake,0.5000,authoritative fact-check indicates false
2025-12-03T09:43:58.823789,duterte is dead,fake,0.5000,authoritative fact-check indicates false
2025-12-03T09:44:19.270566,duterte is not dead,fake,0.5000,authoritative fact-check indicates false
2025-12-03T09:44:28.067666,duterte is not dead,fake,0.5000,authoritative fact-check indicates false
2025-12-03T14:23:56.898389,Duterte is still alive,fake,0.5000,authoritative fact-check indicates false
2025-12-03T14:24:06.704303,Duterte is still alive,fake,0.5000,authoritative fact-check indicates false
2025-12-03T14:24:35.380859,typhoon uwan,fake,1.0000,authoritative fact-check indicates false
2025-12-03T14:24:44.550147,typhoon uwan,fake,1.0000,authoritative fact-check indicates false
2025-12-03T14:31:20.560540,"Real estate services firm Santos Knight Frank sees growth in the property sector in 2026 amid challenges this year.

The firm says there are many projects in the provinces and growth in Metro Manila is in the luxury segment. | via Jekki Pascual, ABS-CBN News",fake,0.5000,model predicts fake (p>=0.2113)
2025-12-03T14:31:30.046200,"Real estate services firm Santos Knight Frank sees growth in the property sector in 2026 amid challenges this year.

The firm says there are many projects in the provinces and growth in Metro Manila is in the luxury segment. | via Jekki Pascual, ABS-CBN News",fake,0.5000,model predicts fake (p>=0.2113)
2025-12-03T14:35:53.410907,duterte is alive,fake,0.5000,authoritative fact-check indicates false
2025-12-03T14:36:03.025858,duterte is alive,fake,0.5000,authoritative fact-check indicates false
2025-12-03T15:39:20.090593,Duterte is alive,fake,0.9921,authoritative fact-check indicates false
2025-12-03T15:39:27.474185,Duterte is alive,fake,0.9921,authoritative fact-check indicates false
2025-12-03T15:50:46.444295,duterte is alive,fake,0.9921,authoritative fact-check indicates false
2025-12-03T15:50:49.790042,duterte is alive,fake,0.9921,authoritative fact-check indicates false
2025-12-03T15:51:05.928892,duterte is dead,fake,0.9924,authoritative fact-check indicates false
2025-12-03T15:51:08.948401,duterte is dead,fake,0.9924,authoritative fact-check indicates false
2025-12-03T15:58:03.764413,Duterte is alive in ICC,fake,0.6521,authoritative fact-check indicates false
2025-12-03T15:58:17.198507,Duterte is alive in ICC,fake,0.6521,authoritative fact-check indicates false
2025-12-03T16:08:41.394892,Duterte is alive in icc,fake,0.6521,authoritative fact-check indicates false
2025-12-03T16:21:30.185606,Duterte is alive,fake,0.7751,authoritative fact-check indicates false
2025-12-03T16:21:41.617738,Duterte is alive,fake,0.7751,authoritative fact-check indicates false
2025-12-03T16:28:51.770839,Duterte is alive,fake,0.7751,authoritative fact-check indicates false
2025-12-03T16:29:03.515253,Duterte is alive,fake,0.7751,authoritative fact-check indicates false
2025-12-03T16:29:56.567962,Rodrigo Duterte is not dead yet,fake,0.9800,model predicts fake (p>=0.2113)
2025-12-03T16:30:06.730851,Rodrigo Duterte is not dead yet,fake,0.9800,model predicts fake (p>=0.2113)
2025-12-03T16:38:15.007380,"Duterte is alive, in ICC custody",fake,0.8500,authoritative fact-check indicates false
2025-12-03T16:38:21.548380,"Duterte is alive, in ICC custody",fake,0.8500,authoritative fact-check indicates false
2025-12-03T16:41:55.773879,Duterte is alive,fake,0.8500,authoritative fact-check indicates false
2025-12-03T16:42:01.952956,Duterte is alive,fake,0.8500,authoritative fact-check indicates false
2025-12-03T16:42:20.972076,"Real estate services firm Santos Knight Frank sees growth in the property sector in 2026 amid challenges this year.

The firm says there are many projects in the provinces and growth in Metro Manila is in the luxury segment. | via Jekki Pascual, ABS-CBN News",real,0.1000,model predicts real (p<=0.15)
2025-12-03T16:43:03.939119,"Real estate services firm Santos Knight Frank sees growth in the property sector in 2026 amid challenges this year.

The firm says there are many projects in the provinces and growth in Metro Manila is in the luxury segment. | via Jekki Pascual, ABS-CBN News",real,0.1000,model predicts real (p<=0.15)
2025-12-03T16:44:50.757934,"Iminungkahi ng senador sa LTO na marehistro ang mga e-trike at magkaroon ng special driver’s license bago maibiyahe sa mga lansangan.

Tingnan ang link sa aming bio para sa buong ulat.",fake,0.8500,model predicts fake (p>=0.2113)
